10001,201109,PSYC,101,3,A,Active,28,25,,Introduction to Psychology,Linda Carli,"An introduction to some of the major subfields of psychology, such as developmental, personality, abnormal, clinical, physiological, cognitive, cultural, and social psychology. Students will explore various theoretical perspectives and research methods used by psychologists to study the origins and variations in human behavior.",None,Social and Behavioral Analysis,,,MTh,11:10 am - 12:20 pm,Science Center 270,,, ,N/A,,, 
10002,201109,PSYC,101,1,A,Active,25,25,,Introduction to Psychology,Tracy R. Gleason,"An introduction to some of the major subfields of psychology, such as developmental, personality, abnormal, clinical, physiological, cognitive, cultural, and social psychology. Students will explore various theoretical perspectives and research methods used by psychologists to study the origins and variations in human behavior.",None,Social and Behavioral Analysis,,,MTh,01:30 pm - 02:40 pm,Science Center 396,,, ,N/A,,, 
10003,201109,ASTR,101,1,B,Offered both semesters,10,40,59,"Introduction to Stars, Galaxies, and Cosmology",Wendy H. Bauer,"This course examines the life stories of stars, from birth in clouds of gas and dust, through placid middle age, to violent explosive demise, leaving white dwarfs, neutron stars, or black holes. It also explores the makeup and structure of galaxies, which contain billions of stars and are racing away from each other as part of the overall expansion of the universe. Finally, it presents modern cosmological models for the origin and ultimate fate of the universe. The course emphasizes the interaction of observations and the mathematical models developed from these data. Weekly hands-on astronomy laboratory introduces visual observing and astronomical imaging, including both historical (visual, film astrophotography, darkroom) and modern (electronic imaging) equipment and techniques. Some nighttime observing will be required.",Fulfillment of the basic skills component of the Quantitative Reasoning requirement. Not open to students who have taken 101L.,Mathematical Modeling,Natural and Physical Science,,MTh,02:50 pm - 04:00 pm,Observatory 114,,, ,N/A,,, 
10005,201109,PSYC,210,1,B,Offered both semesters,29,30,,Social Psychology,Robin M. Akert,"The individual's behavior as it is influenced by other people and the social situation. Study of social influence, interpersonal perception, social evaluation, and various forms of social interaction.","101, AP score of 5 or permission of instructor.",Social and Behavioral Analysis,,,TF,02:50 pm - 04:00 pm,Science Center 396,,, ,N/A,,, 
10006,201109,CS,111,1,B,Offered both semesters,24,25,,Computer Programming and Problem Solving,Orit Shaer,"An introduction to problem solving through computer programming. Using the Java programming language, students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.",None. No prior background with computers is expected.,Does not satisfy the laboratory requirement,Mathematical Modeling,,TF,09:50 am - 11:00 am,Science Center E111,,, ,N/A,,, 
10008,201109,FREN,201,1,1,Offered first semester,23,23,,"French Language, Literatures, and Cultures",Marie-Paule Tranvouez,"FREN 201-202. Reading, writing, and speaking skills are developed through analysis and discussions of short stories, plays, poems, films, and newspaper articles from France and the Francophone world. Three periods. Each semester earns one unit of credit; however, both semesters must be completed satisfactorily to receive credit for either course. Students beginning with 202 must take one of the following courses: 205, 206, 207, 208 or 209, in order to complete the requirement.","102 or 103, SAT II score of 500-590, or an equivalent departmental placement score, or an AP score of 1 or 2 or permission of the instructor.",One unit of Language and Literature for 202,,,MWTh,11:10 am - 12:20 pm,Green Hall 130,,, ,N/A,,, 
10009,201109,SPAN,201,1,1,Offered first semester,21,20,,Intermediate Spanish,Veronica Darer,"SPAN 201-202. Intensive review of all language skills and introduction to the art, literature, and cultures of Spain and Latin America. Emphasis on oral and written expression and critical analysis. Three periods. Each semester earns one unit of credit; however, both semesters must be completed satisfactorily to receive credit for either course.",Two admission units in Spanish or 101-102,One unit of Language and Literature for 202,,,MWTh,08:30 am - 09:40 am,Founders Hall 319,,, ,N/A,,, 
10012,201109,ECON,101,1,B,Offered both semesters,27,33,,Principles of Microeconomics,Daniel K. Fetter,"This first course in economics introduces students to the market system. Microeconomics considers the decisions of households and firms about what to consume and what to produce, and the efficiency and equity of market outcomes. Supply and demand analysis is developed and applied. Policy issues include price floors and ceilings, competition and monopoly, income distribution, and the role of government in a market economy.",Fulfillment of the basic skills component of the Quantitative Reasoning requirement.,Social and Behavioral Analysis,,,MTh,08:30 am - 09:40 am,Pendleton Hall East 339,W,08:30 - 9:40 am,Pendleton Hall East 339,W: 29-AUG-11   19-SEP-11   03-OCT-11   24-OCT-11   07-NOV-11   28-NOV-11   ,,, 
10017,201109,PHYS,104,1,B,Offered both semesters,26,26,,Fundamentals of Mechanics with Laboratory,Theodore W. Ducas,"This course is a systematic introduction to Newtonian mechanics, which governs the motion of objects ranging from biological cells to galaxies. Primary concepts such as mass, force, energy, and momentum are introduced and discussed in depth. We will place emphasis on the conceptual framework and on using fundamental principles to analyze the everyday world. Topics include: Newton's Laws, conservation of energy, conservation of momentum, rotations, waves, and fluids. Concepts from calculus will be developed and used as needed. Laboratories introduce experimental approaches to these topics. Students with a strong background in mathematics or previous experience in physics should consider PHYS 107. May not be taken in addition to 107.",Fulfillment of the basic skills component of the Quantitative Reasoning requirement; Corequisite: calculus at the level of MATH 115.,Mathematical Modeling,Natural and Physical Science,,MWTh,08:30 am - 09:40 am,Science Center 396,,, ,N/A,,, 
10021,201109,PSYC,101,4,A,Active,23,25,,Introduction to Psychology,Angela J. Bahns,"An introduction to some of the major subfields of psychology, such as developmental, personality, abnormal, clinical, physiological, cognitive, cultural, and social psychology. Students will explore various theoretical perspectives and research methods used by psychologists to study the origins and variations in human behavior.",None,Social and Behavioral Analysis,,,TF,09:50 am - 11:00 am,Science Center 392,,, ,N/A,,, 
10024,201109,REL,105,1,B,Offered both semesters,9,30,,Study of the New Testament,Edward C. Hobbs,"The writings of the New Testament as diverse expressions of early Christianity. Close reading of the texts, with particular emphasis upon the Gospels and the letters of Paul. Treatment of the literary, theological, and historical dimensions of the Christian scriptures, as well as of methods of interpretation. The beginnings of the break between the Jesus movement and Judaism will be specially considered.",None,Historical Studies,"Religion, Ethics, and Moral Philosophy",,TF,09:50 am - 11:00 am,Founders Hall 307,,, ,N/A,,, 
10034,201109,ECON,102,2,B,Offered both semesters,29,33,,Principles of Macroeconomics,Gizem Saka,"This course follows 101 and analyzes the aggregate dimensions of a market-based economy. Topics include the measurement of national income, economic growth, unemployment, inflation, business cycles, the balance of payments, and exchange rates. The impact of government monetary and fiscal policies is considered.",101. Fulfillment of the basic skills component of the Quantitative Reasoning requirement.,Social and Behavioral Analysis,,,MTh,11:10 am - 12:20 pm,Pendleton Hall West 116,W,11:10 - 12:20 pm,Pendleton Hall West 116,W: 29-AUG-11   19-SEP-11   03-OCT-11   24-OCT-11   07-NOV-11   28-NOV-11   ,,, 
10041,201109,FREN,206,1,B,Offered both semesters,16,18,,Intermediate Spoken French,Michele M. Respaut,"Practice in conversation, using a variety of materials including newspaper articles, radio and television broadcasts, advertisements, and films. This course is designed to develop oral proficiency and listening comprehension, with necessary attention to the other skills-reading, and writing.","202, 203, or 205, an SAT II score of 650-680, an equivalent departmental placement score, or an AP score of 4.",Language and Literature,,,MTh,01:30 pm - 02:40 pm,Green Hall 130,,, ,N/A,,, 
10043,201109,CS,110,1,B,Offered both semesters,28,30,,Computer Science and the Internet,Scott D. Anderson,"This course explains the basics of how the Internet works and how to build a Web site. Topics include client-server architecture, structuring Web pages with HTML, CSS, and JavaScript, the representation of colors, images, and sound on the computer, encryption, cookies, and CGI forms. We also discuss accessibility, copyright, intellectual property, and critical thinking in the context of the Internet. The required project models most phases of the standard software lifecycle. Students are introduced to programming by building an interactive Web site using JavaScript. Students are required to attend an additional 70-minute discussion section each week. Students considering additional computer science courses should take 111, not 110.",None. No prior background with computers is expected.,Mathematical Modeling,,,MTh,09:50 am - 11:00 am,Science Center E101,,, ,N/A,,, 
10044,201109,CS,111,2,B,Offered both semesters,23,25,,Computer Programming and Problem Solving,Eniana Mustafaraj,"An introduction to problem solving through computer programming. Using the Java programming language, students learn how to read, modify, design, debug, and test algorithms that solve problems. Programming concepts include control structures, data structures, abstraction, recursion, modularity, and object-oriented design. Students explore these concepts in the context of interactive programs involving graphics and user interfaces. Students are required to attend an additional two-hour laboratory section each week. Required for students who wish to major or minor in computer science or elect more advanced courses in the field.",None. No prior background with computers is expected.,Does not satisfy the laboratory requirement,Mathematical Modeling,,TF,11:10 am - 12:20 pm,Science Center E111,,, ,N/A,,, 
10048,201109,ECON,202,1,B,Offered both semesters,22,25,,Intermediate Macroeconomic Analysis,Joseph P. Joyce,Intermediate macroeconomic theory: analysis of fluctuations in aggregate income and growth and the balance of payments. Analysis of policies to control inflation and unemployment.,"101, 102 and one math course at the level of MATH 115 or higher. The math course must be taken at Wellesley.",Social and Behavioral Analysis,,,TWF,11:10 am - 12:20 pm,Pendleton Hall East 139,,, ,N/A,,, 
10053,201109,FREN,201,2,1,Offered first semester,22,23,,"French Language, Literatures, and Cultures",Venita Datta,"FREN 201-202. Reading, writing, and speaking skills are developed through analysis and discussions of short stories, plays, poems, films, and newspaper articles from France and the Francophone world. Three periods. Each semester earns one unit of credit; however, both semesters must be completed satisfactorily to receive credit for either course. Students beginning with 202 must take one of the following courses: 205, 206, 207, 208 or 209, in order to complete the requirement.","102 or 103, SAT II score of 500-590, or an equivalent departmental placement score, or an AP score of 1 or 2 or permission of the instructor.",One unit of Language and Literature for 202,,,TWF,09:50 am - 11:00 am,Founders Hall 225,,, ,N/A,,, 
10056,201109,FREN,101,1,1,Offered first semester,17,20,,Beginning French I and II,Marie-Cecile Ganne-Schiermeier,"Systematic training in all the language skills, with special emphasis on communication, self-expression, and cultural insights. A multimedia course based on the video series, French in Action. Classes are supplemented by regular assignments in a variety of video, audio, print and Web-based materials to give students practice using authentic French accurately and expressively. Three periods. Each semester earns one unit of credit; however, both semesters must be completed satisfactorily to receive credit for either course.",Open by permission of the instructor to first-year students and sophomores who would like to prepare for study abroad their junior year in a Francophone country. Normally not open to students who present French for admission.,None,,,MTh,08:30 am - 09:40 am,Green Hall 130,W,11:10 am - 12:20 pm,Founders Hall 120,N/A,,, 
10058,201109,HEBR,101,1,1,Offered first semester,4,20,,Elementary Hebrew,Nurit O. Ben Yehuda,"HEBR 101-102. Introduction to Hebrew with emphasis on its contemporary spoken and written form. Practice in the skills of listening and speaking as well as reading and writing, together with systematic study of Hebrew grammar. Students will master a basic vocabulary of approximately 1,000 words, and become comfortable in the use of the present, past and future tenses, as well as basic verb patterns. Each semester earns one unit of credit; however, both semesters must be completed satisfactorily to receive credit for either course.",None,None,,,MWTh,08:30 am - 09:40 am,Clapp Library 346,,, ,N/A,,, 
10059,201109,SPAN,241,1,B,Offered both semesters,24,20,,Oral and Written Communication,Joy Renjilian-Burgy,"Practice in oral and written expression at the advanced level. Through frequent presentations, film viewing, and essays, students will develop the ability to use idiomatic Spanish comfortably in various situations. Students will thoroughly review grammar and self-test through a series of linguistic exercises. The course also features the reading and interpreting of literature in Spanish.","201-202, 242, or placement by the department.",Language and Literature,,,MTh,08:30 am - 09:40 am,Green Hall 330,,, ,N/A,,, 
10061,201109,PSYC,212,1,B,Offered both semesters,28,30,,Personality,Kyra Kulik-Johnson,"A comparison of major ways of conceiving and studying personality, including the work of Freud, Jung, behaviorists, humanists, and social learning theorists. Introduction to major debates and research findings in contemporary personality psychology.","101, AP score of 5 or permission of instructor.",Social and Behavioral Analysis,,,TF,08:30 am - 09:40 am,Science Center 364,,, ,N/A,,, 
10062,201109,SPAN,201,5,1,Offered first semester,21,20,,Intermediate Spanish,Jill A. Syverson-Stork,"SPAN 201-202. Intensive review of all language skills and introduction to the art, literature, and cultures of Spain and Latin America. Emphasis on oral and written expression and critical analysis. Three periods. Each semester earns one unit of credit; however, both semesters must be completed satisfactorily to receive credit for either course.",Two admission units in Spanish or 101-102,One unit of Language and Literature for 202,,,TWF,11:10 am - 12:20 pm,Founders Hall 317,,, ,N/A,,, 
10065,201109,CS,230,1,B,Offered both semesters,18,26,,Data Structures,Brian C. Tjaden,"An introduction to techniques and building blocks for organizing large programs. Topics include: modules, abstract data types, recursion, algorithmic efficiency, and the use and implementation of standard data structures and algorithms, such as lists, trees, graphs, stacks, queues, priority queues, tables, sorting, and searching. Students become familiar with these concepts through weekly programming assignments using the Java programming language. Students are required to attend an additional two-hour laboratory section each week.",111 or permission of the instructor. Students who received a grade of C+ or lower in 111 must contact the instructor before enrolling.,Does not satisfy the laboratory requirement,Mathematical Modeling,,MTh,11:10 am - 12:20 pm,Science Center E111,,, ,N/A,,, 
10066,201109,CHEM,120,1,1,Offered first semester,29,32,,Intensive Introductory Chemistry with Laboratory,Christopher R. Arumainayagam,"A one-semester course for students who have completed more than one year of high school chemistry, replacing CHEM 105 and 205 as a prerequisite for more advanced chemistry courses. It presents the topics of nuclear chemistry, atomic structure and bonding, periodicity, kinetics, thermodynamics, electrochemistry, equilibrium, acid/base chemistry, solubility and transition metal chemistry. All of these topics are presented in the context of both historical and contemporary applications. The laboratory includes experiments directly related to topics covered in lecture, an introduction of statistical analysis of data, molecular modeling and computational chemistry, instrumental and classical methods of analysis, thermochemistry and solution equilibria. The course meets for four periods of lecture/discussion and one 3.5 hour laboratory.","Open to students who have a score of 5 on the Chemistry AP exam or an IB score of 5 or above; open also to students with two years of chemistry but without the requisite AP or IB score who perform sufficiently well on the Chemistry 120 Placement Exam. Students must have fulfilled the basic skills component of the Quantitative Reasoning requirement. Not open to students who have completed 105/105P and/or 205. Students who have AP or IB credit in Chemistry, and who elect 120, forfeit the AP or IB credit.",Fulfills the Quantitative Reasoning overlay course requirement,Natural and Physical Science,Mathematical Modeling,MTh,09:50 am - 11:00 am,Science Center 104,WF,09:50 am - 11:00 am,Science Center 377,N/A,,, 
